Board_State,Optimal_Moves
XX  XO  O,2
XX   OX O,2
XX   O XO,2
XX   O  O,2
XX   O   ,2
X XXXOOO ,8
X XX OOOX,
X XX OOO ,1
X XXXOO O,7
X XX OOXO,1
X XX OO O,1
X XX OO  ,1
X X XOOO ,1 8
X X XOOXO,1
X X XOO O,1
X X XOO  ,
X X  OOXO,1
X X  OOX ,1
X X  OOOX,1 4
X X  OO X,
X X  OO  ,1
X XXXO OO,6
X XX O OO,1 6
X XX O O ,
X X XO OO,1 6
X X XO O ,
X X  OXOO,1 3 4
X X  OXO ,
X X  O OX,
X X  O O ,1
X XX O  O,
X X XO  O,
X X  OX O,
X X  O XO,
X X  O  O,1
X X  O   ,
X  XXOOO ,8
X  XXOOXO,2
X  XXOO O,
X  XXOO  ,8
X  X OOXO,2
X  X OOX ,2
X  X OOOX,4
X  X OO X,4
X  X OO  ,2 8
X  XXO OO,6
X  XXO O ,
X  X O OX,
X  X O O ,6
X  XXO  O,2
X  X O XO,2
