Board_State,Win_Moves,Draw_Moves,Lose_Moves
 O   XOX ,,0 2 3 4,8
 O   X XO,,0 2 3 4,6
 O   X X ,,6 8,0 2 3 4
 OO  X  X,,,0 3 4 6 7
 O O X  X,0 2 4 6 7,,
 O  OX  X,2 7,,0 3 6
 O   XO X,0 2 3 4,,7
 O   X OX,2 4,,0 3 6
 O   X  X,2,,0 3 4 6 7
 O   X   ,2 4,0 6 7,3 8
  OOOXXX ,8,0 1,
  OO XXXO,,0 1 4,
  OO XXX ,,8,0 1 4
  OOOXX X,7,0 1,
  OO XXOX,,0 1 4,
  OO XX X,,7,0 1 4
  OO XX  ,,0 1 4 7 8,
  O OXXXO,,0,1 3
  O OXXX ,,8,0 1 3
  O OXXOX,,1,0 3
  O OXX X,,7,0 1 3
  O OXX  ,,0 1 7 8,3
  O  XXOX,1,0 3 4,
  O  XXO ,3,0 1 4,8
  O  XXXO,0,1 3 4,
  O  XX O,3,0 1 4,7
  O  XX  ,,0 3 4,1 7 8
  OOOX XX,6,,0 1
  OO XOXX,,,0 1 4
  OO X XX,6,,0 1 4
  OO X X ,,0 1 4 6,8
  O OX XX,6,,0 1 3
  O OX X ,,6,0 1 3 8
  O  XOXX,0 1 3 4,,
  O  XOX ,4,,0 1 3 8
  O  X XO,4,0,1 3 6
  O  X X ,0,3 4,1 6 8
  OO X  X,,0 6,1 4 7
  O OX  X,,6,0 1 3 7
  O  XO X,4,,0 1 3 7
  O  X OX,4,1,0 3 6
  O  X  X,0 1,3 4,6 7
  O  X   ,,0 1 4 6,3 7 8
   OOXXXO,,0,1 2
   OOXXX ,,8,0 1 2
   OOXXOX,2,1,0
   OOXX X,,,0 1 2 7
   OOXX  ,8,0 1 2 7,
   O XXOX,,2,0 1 4
   O XXO ,2,0 1 4 8,
   O XXXO,,1 2 4,0
   O XX O,,0 1 2 4 7,
   O XX  ,,2 8,0 1 4 7
   OOXOXX,2,,0 1
   OOX XX,,,0 1 2 6
   OOX X ,8,0 2 6,1
   O XOXX,0 2,,1 4
   O XOX ,0,,1 2 4 8
   O X XO,,0 1 4 6,2
   O X X ,,2 8,0 1 4 6
   OOX  X,2 6 7,0 1,
   O XO X,0 2,,1 4 7
   O X OX,0 2 4,1 6,
   O X  X,,2,0 1 4 6 7
   O X   ,,0 1 2 4 6 7 8,
    OXXOX,1,2,0 3
    OXXO ,,1,0 2 3 8
    OXXXO,0,1 2 3,
    OXX O,,0,1 2 3 7
    OXX  ,,1 2 7 8,0 3
    OXOXX,2,,0 1 3
    OXOX ,,2,0 1 3 8
    OX XO,,0,1 2 3 6
    OX X ,,2 6 8,0 1 3
    OXO X,2,,0 1 3 7
    OX OX,2,1,0 3 6
    OX  X,,2,0 1 3 6 7
    OX   ,,0 1 2 6 7 8,3
     XOXO,4,0,1 2 3
     XOX ,0,1 4,2 3 8
     XOOX,0 1 2 3 4,,
     XO X,,,0 1 2 3 4 7
     XO  ,8,0 4,1 2 3 7
     XXOO,0 1 3 4,,2
     XXO ,,4,0 1 2 3 8
     X OX,,,0 1 2 3 4 6
     X O ,4 8,0 1 6,2 3
     XX O,,3 4,0 1 2 7
     X XO,,1 3 4,0 2 6
     X  O,,0 4 6 7,1 2 3
     X   ,,2 3 4 8,0 1 6 7
OO    XX ,2 8,,3 4 5
O O   XX ,1 8,,3 4 5
O  O  XX ,1 2 4 5 8,,
O   O XX ,8,,1 2 3 5
O    OXX ,1 2 4 8,,3
O     XXO,4,,1 2 3 5
O     XX ,,,1 2 3 4 5 8
OO    X X,2 7,,3 4 5
O O   X X,7,1,3 4 5
O  O  X X,1 2 4 5 7,,
O   O X X,2 5 7,1 3,
O    OX X,2 4 7,1 3,
O     XOX,2,1 4 5,3
O     X X,,,1 2 3 4 5 7
O     X  ,2 7 8,1 4 5,3
 OO   XX ,0 8,,3 4 5
 O O  XX ,2 4 8,0 5,
 O  O XX ,0 3 8,2 5,
 O   OXX ,0 2 3 4 8,,
 O    XXO,,0 2,3 4 5
 O    XX ,,8,0 2 3 4 5
 OO   X X,0 7,,3 4 5
 O O  X X,0 2 4 5 7,,
 O  O X X,7,,0 2 3 5
 O   OX X,0 2 3 4 7,,
 O    XOX,4,,0 2 3 5
 O    X X,,,0 2 3 4 5 7
 O    X  ,0 4 8,2 5 7,3
  OO  XX ,1 4 8,0 5,
  O O XX ,0 3 8,5,1
  O  OXX ,8,,0 1 3 4
  O   XXO,,,0 1 3 4 5
  O   XX ,8,,0 1 3 4 5
  OO  X X,0 4 7,1 5,
  O O X X,0 3 7,1 5,
  O  OX X,0 1 3 4 7,,
  O   XOX,0,1 3 4,5
  O   X X,,,0 1 3 4 5 7
  O   X  ,0 8,1 4 5,3 7
   OO XX ,8,5,0 1 2
   O OXX ,4 8,,0 1 2
   O  XXO,4,5,0 1 2
   O  XX ,,,0 1 2 4 5 8
   OO X X,5 7,,0 1 2
   O OX X,4 7,,0 1 2
   O  XOX,2 4,1 5,0
   O  X X,,,0 1 2 4 5 7
   O  X  ,4 7 8,0 1 2 5,
    OOXX ,3 8,,0 1 2
    O XXO,,0,1 2 3 5
    O XX ,,8,0 1 2 3 5
    OOX X,3 7,,0 1 2
    O XOX,,1,0 2 3 5
    O X X,,7,0 1 2 3 5
    O X  ,,0 1 2 3 5 7 8,
     OXXO,,,0 1 2 3 4
     OXX ,8,,0 1 2 3 4
     OXOX,0 4,1 3,2
     OX X,,,0 1 2 3 4 7
     OX  ,0 4 8,1 2 3,7
      XOX,,4,0 1 2 3 5
      XO ,0 3 4,1 2 5 8,
      XXO,2 5,1 4,0 3
      X O,0 2 3,1 4 5,7
      X  ,,4,0 1 2 3 5 7 8
OO     XX,2 6,,3 4 5
O O    XX,1 6,,3 4 5
O  O   XX,6,,1 2 4 5
O   O  XX,2 5 6,3,1
O    O XX,1 4 6,2 3,
O     OXX,,,1 2 3 4 5
O      XX,6,,1 2 3 4 5
O      X ,6,2 4,1 3 5 8
 OO    XX,0 6,,3 4 5
 O O   XX,0 2 4 5 6,,
 O  O  XX,2 5 6,0 3,
 O   O XX,0 4 6,2 3,
 O    OXX,,0 2,3 4 5
 O     XX,,6,0 2 3 4 5
 O     X ,,0 2 3 4 5 6 8,
  OO   XX,0 1 4 6,,5
  O O  XX,6,,0 1 3 5
  O  O XX,0 1 3 4 6,,
  O   OXX,4,,0 1 3 5
  O    XX,,,0 1 3 4 5 6
  O    X ,8,0 4,1 3 5 6
   OO  XX,5 6,,0 1 2
   O O XX,4 6,,0 1 2
   O  OXX,,,0 1 2 4 5
   O   XX,6,,0 1 2 4 5
   O   X ,4 6,0 2 5,1 8
    OO XX,6,3,0 1 2
    O OXX,,2,0 1 3 5
    O  XX,,6,0 1 2 3 5
    O  X ,,0 2 3 5 6 8,1
     OOXX,4,3,0 1 2
     O XX,,,0 1 2 3 4 6
     O X ,4 8,0 2 3,1 6
      OXX,0 3,1 4,2 5
      OX ,,0 2 3 4,1 5 8
       XO,,0 2 4 5,1 3 6
       X ,,1 4 6 8,0 2 3 5
O       X,2 6,1 3 4,5 7
 O      X,2 4 6,0 3 7,5
  O     X,0 6 7,1 3 4,5
   O    X,2 4 6,0 1 5,7
    O   X,,0 1 2 3 5 6 7,
     O  X,4 6 7,0 1 2 3,
      O X,0 2 5,1 3 4,7
       OX,2 4 5,0 1 3 6,
        X,,4,0 1 2 3 5 6 7
         ,,0 1 2 3 4 5 6 7 8,
